Qty,Value,Device,Package,Parts,Description,MP,PART_NUMBER
20,0.1uF,CAPACITOR-SMD-0402,0402,"C5, C6, C7, C8, C12, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C30, C31, C32",,,101-0012-00
1,1.28_DISPLAY-STANDOFFS,1.28_DISPLAY-STANDOFFS,1.28ROUNDDISPLAY_STANDOFFS,DISP1,,,111-0002-00
1,100k,RESISTOR-SMD0402,0402,R21,,,102-0043-00
1,100uF,CAPACITOR-SMD-1210,1210,C10,,,101-0026-00
12,10k,RESISTOR-SMD0402,0402,"R1, R2, R3, R5, R11, R12, R13, R14, R15, R20, R23, R24",,,102-0017-00
1,10k,RESISTOR_4PACK-0804,RESPACK_4X0402,R4,"Resistor Packs (4 resistors)",,102-0061-00
3,10uF,CAPACITOR-SMD-0402,0402,"C11, C13, C33",,,101-0015-00
1,120R,INDUCTOR0603,0603,L1,Inductors,,114-0002-00
1,1M,RESISTOR-SMD0402,0402,R19,,,102-0012-00
1,1X4PIN-GPIO-S4B-PH-SM4-TB,1X4PIN-GPIO-S4B-PH-SM4-TB,S4B-PH-SM4-TB(LF)(SN),J4,,,119-0033-00
2,1k,RESISTOR-SMD0402,0402,"R8, R10",,,102-0013-00
2,1nF,CAPACITOR-SMD-0402,0402,"C4, C29",,,101-0005-00
6,1uF,CAPACITOR-SMD-0402,0402,"C1, C2, C3, C14, C15, C16",,,101-0004-00
1,2.2uF,CAPACITOR-SMD-0603,0603,C9,,,101-0008-00
2,22,RESISTOR-SMD0402,0402,"R18, R22",,,102-0044-00
2,220pF,CAPACITOR-SMD-0402,0402,"C34, C35",,,101-0043-00
2,330R,INDUCTOR0603,0603,"L2, L3",Inductors,,114-0003-01
2,4.7k,RESISTOR-SMD0402,0402,"R16, R17",,,102-0038-00
1,470,RESISTOR-SMD0402,0402,R9,,,102-0041-00
2,5.1k,RESISTOR-SMD0402,0402,"R6, R7",,,102-0037-00
2,BTN-MOM-EVQ-PUA02K,BTN-MOM-EVQ-PUA02K,EVQ-PUA02K,"SW3, SW4",,,118-0017-00
2,BTN-MOM-LCSC_3X4SMD,BTN-MOM-LCSC_3X4SMD,3X4SMD,"SW1, SW2",,,118-0021-00
1,CP2102N-QFN28,CP2102N-QFN28,IC_CP2102N-A02-GQFN28R,U3,,,105-0029-00
1,DIODE-1N4007FL,DIODE-1N4007FL,SOD-123FL,D1,,,115-0001-00
1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,U1,,,106-0010-02
1,JUMPER-SMT_3_1-NC_TRACE_NO-SILK,JUMPER-SMT_3_1-NC_TRACE_NO-SILK,SMT-JUMPER_3_1-NC_TRACE_NO-SILK,JP2,"Normally closed trace jumper (1 of 2 connections)",,
12,LED_ADDRESSABLE-SK6805-SIDE-RGBW,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12",,,103-0001-00
1,MAX98357AETE+T,MAX98357AETE+T,QFN50P300X300X80-17N,U8,,MAX98357AETE+T,105-0079-00
1,MICROSD_SOCKET-MEM2052-00-195-00-A,MICROSD_SOCKET-MEM2052-00-195-00-A,GCT_MEM2052-00-195-00-A_REVA,J1,"1.10mm Pitch microSD Card Connector, Push-Push Type, with VSS (Supply Voltage Ground) Detect Switch, Lead-Free",,119-0080-00
1,N-CHANNEL-TRANSISTOR,N-CHANNEL-TRANSISTOR,SOT23,T2,,,104-0005-00
1,N-CHANNEL-TRANSISTOR,N-CHANNEL-TRANSISTOR,SOT23,T1,,,105-0025-00
2,NPN_TRANSISTORMMBT3904,NPN_TRANSISTORMMBT3904,SOT23,"U4, U5",,,105-0002-01
1,OSCILLATOR-SIT8008AI,OSCILLATOR-SIT8008AI,SIT8008AI-1X,X1,,,117-0011-24
1,PIXART_CAMERA-BOARDEDGE,PIXART_CAMERA-BOARDEDGE,PIXART_CAMERA_BOARDEDGE,U7,,,109-0014-00
18,POGO_LANDING_PADP25-0123,POGO_LANDING_PADP25-0123,HARWIN_LANDING_P25-01_20MIL,"TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23",,,
5,POGO_LANDING_PADP25-4023,POGO_LANDING_PADP25-4023,HARWIN_LANDING_P25-4023,"TP1, TP2, TP3, TP4, TP5",,,
1,SOICBITE,SOICBITE,SOICBITE,JP1,"SOICbite footprint",,
1,SPEAKER-CS18-01R80-02-1X,SPEAKER-CS18-01R80-02-1X,CS18-01R80-02-1X,SKR2,,,126-0003-00
1,SPEAKER-OWS-111535LA-8H,SPEAKER-OWS-111535LA-8H,OWS-111535LA-8H,SKR3,,,126-0002-00
1,SPEAKER-WII,SPEAKER-WII,WIIMOTE_SPEAKER,SKR1,,,126-0001-00
1,USB2_C_RECEPTACLE-12402012E212A,USB2_C_RECEPTACLE-12402012E212A,12402012E212A,J2,,,119-0027-00
1,USBLC6-2SC6,USBLC6-2SC6,SOT95P280X145-6N,U2,"Check availability  Check availability",USBLC6-2SC6,115-0013-00
1,VREG_LDO-AP2114HA-3.3TRG1,VREG_LDO-AP2114HA-3.3TRG1,SOT-223_DIO,U6,,,105-0050-00
