Name,X,Y,Angle,Value,Package
C1,52.71,38.48,180.00,1uF,0402
C10,45.72,7.62,0.00,100uF,1210
C11,16.51,14.73,90.00,10uF,0402
C12,18.67,14.73,270.00,0.1uF,0402
C13,18.67,13.59,270.00,10uF,0402
C14,51.31,13.08,180.00,1uF,0402
C15,52.45,13.08,180.00,1uF,0402
C16,52.45,16.64,0.00,1uF,0402
C17,32.49,3.10,15.00,0.1uF,0402
C18,16.04,10.86,45.00,0.1uF,0402
C19,5.38,25.54,75.00,0.1uF,0402
C2,50.16,38.48,180.00,1uF,0402
C20,3.48,43.58,105.00,0.1uF,0402
C21,10.86,60.16,135.00,0.1uF,0402
C22,25.54,70.82,165.00,0.1uF,0402
C23,43.51,73.38,285.00,0.1uF,0402
C24,60.16,65.34,225.00,0.1uF,0402
C25,70.82,50.66,255.00,0.1uF,0402
C26,72.72,32.62,285.00,0.1uF,0402
C27,65.34,16.04,315.00,0.1uF,0402
C28,50.66,5.38,345.00,0.1uF,0402
C29,29.85,49.53,90.00,1nF,0402
C3,49.02,38.48,180.00,1uF,0402
C30,30.48,46.23,270.00,0.1uF,0402
C31,10.16,21.72,60.00,0.1uF,0402
C32,61.90,28.83,180.00,0.1uF,0402
C33,60.76,28.83,180.00,10uF,0402
C34,61.39,32.11,90.00,220pF,0402
C35,66.67,31.98,270.00,220pF,0402
C4,27.30,17.53,0.00,1nF,0402
C5,21.54,55.50,0.00,0.1uF,0402
C6,23.14,55.50,0.00,0.1uF,0402
C7,20.96,10.67,30.00,0.1uF,0402
C8,16.51,13.59,90.00,0.1uF,0402
C9,46.61,11.43,0.00,2.2uF,0603
D1,49.02,10.54,90.00,DIODE-1N4007FL,SOD-123FL
J2,38.10,4.41,0.00,USB2_C_RECEPTACLE-12402012E212A,12402012E212A
JP2,66.32,22.73,90.00,JUMPER-SMT_3_1-NC_TRACE_NO-SILK,SMT-JUMPER_3_1-NC_TRACE_NO-SILK
L1,44.96,11.43,0.00,120R,0603
L2,65.41,30.76,270.00,330R,0603
L3,62.66,30.78,90.00,330R,0603
LED1,28.59,2.62,15.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED10,73.58,28.59,285.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED11,64.07,12.13,315.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED12,47.61,2.62,345.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED2,12.13,12.13,45.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED3,2.62,28.59,75.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
LED4,2.62,47.61,105.00,LED_ADDRESSABLE-SK6805-SIDE-RGBW,SK6805SIDE-FRGBW
