Name,X,Y,Angle,Value,Package
C5,60.20,58.52,180.00,0.1uF,0402
C6,53.09,58.52,180.00,0.1uF,0402
DISP1,38.10,27.04,180.00,1.28_DISPLAY-STANDOFFS,1.28ROUNDDISPLAY_STANDOFFS
J1,9.28,38.10,90.00,MICROSD_SOCKET-5033981892,MOLEX_503398-1892
J4,19.51,59.05,270.00,1X4PIN-GPIO-S4B-PH-SM4-TB,S4B-PH-SM4-TB(LF)(SN)
JP1,6.19,56.72,240.00,SOICBITE,SOICBITE
R22,32.89,19.94,270.00,22,0402
R23,31.12,16.00,270.00,10k,0402
R24,21.39,28.70,180.00,10k,0402
R4,22.20,39.22,270.00,10k,RESPACK_4X0402
SW1,62.48,57.00,90.00,BTN-MOM-LCSC_3X4SMD,3X4SMD
SW2,55.37,57.00,90.00,BTN-MOM-LCSC_3X4SMD,3X4SMD
T2,31.12,18.29,0.00,N-CHANNEL-TRANSISTOR,SOT23
U7,38.10,51.33,0.00,PIXART_CAMERA-BOARDEDGE,PIXART_CAMERA_BOARDEDGE
