Name,X,Y,Angle,Value,Package
C14,28.32,1.02,0.00,4.7uF,0402
C15,17.14,1.65,90.00,2.2uF,0603
C16,14.10,-0.13,180.00,100uF,1210
D1,17.91,-0.13,0.00,DIODE-1N4007FL,SOD-123FL
L1,17.14,-1.91,90.00,120R,0603
LED1,0.89,0.00,270.00,Red,IN-S63AS
R1,34.67,2.03,270.00,1k,0402
R2,35.18,-0.89,270.00,18,0402
R21,23.88,-0.89,180.00,10k,0402
R22,4.06,-1.91,90.00,1k,0402
R3,39.75,0.89,0.00,220,0402
R4,39.75,-1.02,0.00,499k,0402
R8,4.06,0.64,90.00,5.1k,0402
R9,4.06,-0.64,90.00,5.1k,0402
U1,42.04,0.00,90.00,MAX8XX,SOT23
U2,37.59,0.00,270.00,P-CHANNEL_MOSFET-AO3413,SOT23
U3,32.38,0.00,90.00,LED_DRIVER,SOT26
U8,26.16,0.00,180.00,MCP73832,MCP73832
