Name,X,Y,Angle,Value,Package
C14,29.46,1.60,270.00,4.7uF,0402
C15,17.53,1.78,90.00,2.2uF,0603
C16,14.48,0.00,180.00,100uF,1210
C18,34.54,1.14,180.00,0.1uF,0402
C19,33.40,1.14,180.00,10uF,0402
C20,34.54,-1.14,0.00,0.1uF,0402
C21,33.40,-1.14,0.00,10uF,0402
D1,18.29,0.00,0.00,DIODE-1N4007FL,SOD-123FL
L1,17.53,-1.91,90.00,120R,0603
LED1,0.81,0.00,270.00,Red,IN-S63AS
R10,43.56,-1.02,90.00,1k,0402
R11,43.82,-2.03,90.00,470,0402
R12,42.93,-3.43,90.00,1k,0402
R13,53.85,0.13,90.00,12k,0402
R14,51.82,0.13,270.00,12k,0402
R21,24.38,0.05,180.00,10k,0402
R22,1.40,-2.84,90.00,1k,0402
R8,9.78,2.03,270.00,5.1k,0402
R9,9.53,-1.91,270.00,5.1k,0402
U10,38.86,0.00,135.00,CP2102N-QFN28,IC_CP2102N-A02-GQFN28R
U11,52.83,2.41,0.00,NPN_TRANSISTORMMBT3904,SOT23
U12,52.83,-2.16,180.00,NPN_TRANSISTORMMBT3904,SOT23
U8,26.67,0.05,180.00,MCP73832,MCP73832
U9,6.35,0.00,0.00,USBLC6-2SC6,SOT95P280X145-6N
