Qty,Value,Device,Package,Parts,Description,DNP,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,PART_NUMBER,STANDARD
1,,BUTTON_MOM-6X6X4.3SMD,6X6X4.3_SMD,S1,"OMRON SWITCH",,,,,118-0010-00,
1,100uF,CAPACITOR-SMD-1210,1210,C16,,,,,,101-0026-00,
1,10k,RESISTOR-SMD0402,0402,R21,,,,,,102-0017-00,
1,120R,INDUCTOR0603,0603,L1,Inductors,,,,,114-0002-00,
1,18,RESISTOR-SMD0402,0402,R2,,,,,,102-0082-00,
2,1k,RESISTOR-SMD0402,0402,"R1, R22",,,,,,102-0013-00,
1,2.2uF,CAPACITOR-SMD-0603,0603,C15,,,,,,101-0008-00,
1,220,RESISTOR-SMD0402,0402,R3,,,,,,102-0014-00,
1,4.7uF,CAPACITOR-SMD-0402,0402,C14,,,,,,101-0006-00,
1,499k,RESISTOR-SMD0402,0402,R4,,yes,,,,102-0030-00,
2,5.1k,RESISTOR-SMD0402,0402,"R8, R9",,,,,,102-0037-00,
2,BATTERY_CONTACT_SINGLE,BATTERY_CONTACT_SINGLE,BH-129A-5,"J2, J3",,,,,,125-0002-00,
1,DIODE-1N4007FL,DIODE-1N4007FL,SOD-123FL,D1,,,,,,115-0001-00,
1,LED_DRIVER,LED_DRIVER,SOT26,U3,,,,,,105-0077-00,
1,MAX8XX,MAX8XX,SOT23,U1,,,,,,105-0078-0X,
1,MCP73832,MCP73832,MCP73832,U8,,,,,,105-0005-00,
1,P-CHANNEL_MOSFET-AO3413,P-CHANNEL_MOSFET-AO3413,SOT23,U2,,,,,,105-0003-00,
1,Red,LED-RA_0603,IN-S63AS,LED1,,,,,,103-0014-RD,
1,USB-C_SIMPLE,USB-C_SIMPLE,GCT_USB4125-GF-A_REVA2,J1,,,GCT,"3.16 mm","Rev A2",119-0018-00,"Manufacturer Recommendations"
