Name,X,Y,Angle,Value,Package
C1,108.84,1.02,270.00,0.1uF,0402
C11,86.25,5.22,225.00,1uF,0402
C12,89.36,2.11,225.00,1nF,0402
C13,191.14,-1.52,90.00,0.1uF,0402
C2,93.98,1.27,180.00,1uF,0402
C3,91.31,-0.38,0.00,1uF,0402
C4,191.14,-0.38,90.00,0.1uF,0402
C5,84.79,6.68,225.00,1uF,0402
C6,85.49,5.99,225.00,1uF,0402
C8,202.82,0.38,180.00,0.1uF,0402
LED1,206.89,0.00,270.00,LED_ADDRESSABLE-FZ2812-1204,FZ2812-1204
R10,83.06,2.03,90.00,0,0402
R11,82.93,-1.74,90.00,0,0402
R12,82.93,-0.51,90.00,10k,0402
R13,102.87,0.51,270.00,100k,0402
R14,105.92,-0.89,270.00,100k,0402
R15,142.11,-1.78,270.00,10k,0402
R16,140.59,1.78,90.00,10k,0402
R17,146.59,0.76,0.00,22,0402
R18,147.83,0.76,180.00,100k,0402
R2,125.04,-1.14,90.00,18,0402
R20,186.69,-1.40,90.00,100k,0402
R21,186.69,0.00,90.00,100k,0402
R3,98.17,1.40,0.00,220,0402
R4,98.17,-0.64,0.00,499k,0402
R5,93.85,-1.65,270.00,0,0402
R6,87.01,4.46,225.00,10k,0402
R7,88.66,2.81,225.00,10k,0402
T1,150.24,-0.13,180.00,N-CHANNEL-TRANSISTOR,SOT23
T8,140.59,-0.25,180.00,N-CHANNEL-TRANSISTOR,SOT23
U1,100.33,0.38,90.00,MAX8XX,SOT23
U2,96.01,0.38,270.00,P-CHANNEL_MOSFET-AO3413,SOT23
U3,127.94,0.00,180.00,LED_DRIVER,SOT26
U4,105.92,1.02,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,91.82,1.40,180.00,NCP176AMX330TCG,PSON40P120X120X45-7N_NCP176AMX330TCG
U6,194.18,0.38,0.00,BMI270,XDCR_BMI270
U7,73.28,0.00,270.00,ESP32-S3-MINI-1-N8,XCVR_ESP32-S3-MINI-1-N8
